phi*6/pi,min,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,max,cos(phi)
0,-68.59648008,-0.687029234,-0.010704592,0.234086264,0.506335658,0.85169537,1.324049358,2.030982172,3.229017982,5.876277836,165.1920372,2.000130125
1,-87.66891002,-1.054666976,-0.1614452,0.13801699,0.400501064,0.73177654,1.18791603,1.864616294,3.007544786,5.577279088,162.3941538,1.732186564
2,-104.537811,-2.068371824,-0.709104238,-0.163887362,0.122766748,0.41079688,0.800758854,1.389863292,2.399872558,4.688402376,153.6355666,1.000135477
3,-120.9688837,-3.414923062,-1.543133946,-0.749545096,-0.297325534,0.00168252,0.299019872,0.75255394,1.554983796,3.415424182,137.2916876,0.000129274
4,-140.3713721,-4.693326074,-2.390773812,-1.38225853,-0.794781984,-0.4053075,-0.11916464,0.165402702,0.712563402,2.068257624,115.4443202,-0.999881527
5,-154.7361771,-5.586082744,-3.006326222,-1.8516153,-1.178376276,-0.72578224,-0.396121738,-0.137186066,0.162223232,1.050840164,90.68687488,-1.73194533
6,-160.8689545,-5.89984278,-3.218321084,-2.023841058,-1.318942372,-0.84670374,-0.503131782,-0.231439934,0.01235706,0.686637472,68.93712629,-1.999906607
7,-158.0881552,-5.569075212,-2.994663954,-1.851231412,-1.18217164,-0.72938897,-0.398701672,-0.136612888,0.162778996,1.047992282,92.86819,-1.731962852
8,-146.8201914,-4.673863846,-2.386531874,-1.37884355,-0.798493664,-0.40964779,-0.123140968,0.16563123,0.712149622,2.065756038,116.7048785,-0.999910692
9,-128.5220866,-3.406810248,-1.542979414,-0.750243574,-0.29604727,-0.00090787,0.29651213,0.751250768,1.54871017,3.402667282,137.9844269,9.66E-05
10,-105.4356694,-2.0612932,-0.705293388,-0.16361917,0.121503418,0.40865576,0.7969854,1.384435712,2.390864944,4.669805676,154.3194823,1.000107797
11,-80.22102631,-1.037205714,-0.15925297,0.139503886,0.399459422,0.73174451,1.182563466,1.851108716,3.003804998,5.560190848,163.7759642,1.732170785
