n-999999999998,  zeta 
1, 4.023671
2, 42.852321
3, -4.524347
4, -2.843889
5, -1.724726
6, -0.008821
7, 0.337112
8, 1.128369
9, -1.281147
10, 2.536105
11, -2.279308
12, -0.066808
13, -0.277294
14, 1.364997
15, -4.341948
16, -1.063504
17, -0.071558
18, -0.016783
19, -0.173463
20, 1.259154
21, -0.796638
22, 0.300755
23, -3.626799
24, 4.364554
25, -1.356505
26, 0.350640
27, -2.664066
28, 1.436811
29, -0.363241
30, 2.068436
31, -0.273001
32, 5.482019
33, -2.426869
34, 3.155441
35, -2.061727
36, 2.507980
37, -2.668745
38, 0.611148
39, -1.986190
40, 4.243317
41, -2.525065
42, 3.393323
43, -3.143297
44, 3.431551
45, -1.545902
46, 4.887088
47, -7.087772
48, 5.478295
49, -0.096359
50, 0.126049
51, 1.980230
52, 0.260531
53, 0.227260
54, 0.139957
55, 0.008081
56, 1.574122
57, -0.966223
58, 1.242318
59, -0.507926
60, -0.121964
61, -4.319768
62, 0.390287
63, -0.697961
64, -0.170758
65, -1.968514
66, 1.461696
67, -1.172988
68, 2.726029
69, -1.637338
70, 1.727551
71, -0.564343
72, -1.657970
73, -14.417734
74, 31.254435
75, 6.532739
76, 1.147138
77, 1.316427
78, -1.875314
79, -0.387099
80, 0.183965
81, -0.854979
82, 0.257785
83, -0.486686
84, 4.430626
85, 0.254539
86, 0.366849
87, -0.485101
88, 1.020333
89, -1.411996
90, 5.016820
91, -3.557838
92, 0.826462
93, -1.868955
94, 0.274500
95, -1.801626
96, 4.037490
97, -0.849005
98, 0.228009
99, -1.565635
100, 0.844123
101, -1.287547
102, 0.541870
103, 0.048067
104, -0.094779
105, 0.055491
106, -9.249234
107, -16.702581
108, 11.860965
109, -0.582940
110, 1.591557
111, -9.153033
112, 5.667718
113, -0.380172
114, 3.826924
115, -2.845336
116, 2.600488
117, -1.543924
118, -0.699286
119, -0.887932
120, -0.029101
121, -1.382359
122, 2.333793
123, 0.006890
124, 2.221317
125, -0.875260
126, 2.216116
127, -0.192469
128, 0.610743
129, -0.093693
130, 0.032695
131, 0.331596
132, -1.414323
133, 0.268966
134, -0.637225
135, 11.742244
136, 25.168921
137, -9.691286
138, 0.418638
139, -2.352121
140, 0.705130
141, -0.108102
142, 4.679604
143, -2.171297
144, 4.544737
145, -4.901588
146, 0.606325
147, -2.700682
148, 2.076054
149, -1.378236
150, 1.599717
151, -4.697622
152, 2.400777
153, 0.593000
154, 0.392560
155, -0.959049
156, 3.588831
157, -3.415707
158, 0.694868
159, -1.208653
160, 2.706060
161, -0.255487
162, 0.535285
163, -1.247205
164, 3.749706
165, -0.872247
166, 0.356627
167, 0.014506
168, 2.515517
169, -1.712203
170, 0.467290
171, -0.287158
172, -0.433414
173, -1.772976
174, 0.070442
175, 2.755643
176, 5.564436
177, -4.872004
178, 2.994702
179, 1.174898
180, 10.137639
181, -8.821660
182, 10.687790
183, -11.252999
184, -3.235908
185, -5.293089
186, -3.109636
187, 1.219704
188, -0.667593
189, -0.039011
190, 0.029627
191, -2.025556
192, 0.021970
193, -0.184202
194, 0.928984
195, -0.120933
196, -0.425278
197, -1.535619
198, 1.772138
199, -3.995643
200, 3.295921
201, -2.016387
202, 1.706913
203, -0.181060
204, 0.906303
205, -1.853024
206, 1.457143
207, -3.409727
208, 1.095022
209, -0.950328
210, -0.052866
211, -1.530934
212, 1.749497
213, -8.296288
214, 17.460889
215, 4.084765
216, 0.136625
217, -1.290492
218, 0.603248
219, -1.800436
220, 1.311763
221, -4.279393
222, 3.070393
223, -0.798370
224, 2.013892
225, -2.159558
226, 6.418417
227, -1.264004
228, 5.045103
229, 0.694358
230, -0.070887
231, -1.016585
232, -0.016025
233, -0.591760
234, 0.053706
235, -0.354163
236, 0.130995
237, -1.422172
238, 0.256139
239, -1.293590
240, 0.649410
241, -2.096185
242, 1.245702
243, -0.511351
244, -1.833715
245, -2.331332
246, -4.802105
247, -2.662644
248, 18.785469
249, -21.389865
250, 1.737203
251, 1.703637
252, 3.209098
253, 2.315709
254, 0.286007
255, -1.841699
256, 0.630949
257, -1.443501
258, 2.577348
259, -8.162394
260, -3.714210
261, -0.048524
262, 1.277189
263, -0.876591
264, 0.602475
265, -0.527794
266, 1.648300
267, -1.012558
268, 0.030434
269, -1.441971
270, -0.177777
271, -4.451349
272, 1.288505
273, -7.299396
274, 1.723930
275, -0.159097
276, 1.098834
277, -1.005612
278, 2.196308
279, -3.558396
280, 0.278558
281, -0.465125
282, -0.552037
283, -0.797174
284, -0.138202
285, -1.236880
286, 1.695155
287, -5.884157
288, 17.727604
289, -7.272898
290, 2.679893
291, -2.691431
292, 5.341363
293, 5.152587
294, 0.121088
295, -0.397877
296, 0.051810
